"subject" "lable" "Variable" "value" "dimension" "average"
"116" 20 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.252098317156863
"117" 20 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.296144421355556
"118" 20 "SITTING" "tBodyAcc" "mean" "X" 0.278045439090909
"119" 20 "STANDING" "tBodyAcc" "mean" "X" 0.278076904657534
"120" 20 "LAYING" "tBodyAcc" "mean" "X" 0.239507882205882
"121" 21 "WALKING" "tBodyAcc" "mean" "X" 0.279183526730769
"122" 21 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.265194544680851
"123" 21 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.3014610196
"124" 21 "SITTING" "tBodyAcc" "mean" "X" 0.277539616823529
"125" 21 "STANDING" "tBodyAcc" "mean" "X" 0.27695224258427
"126" 21 "LAYING" "tBodyAcc" "mean" "X" 0.271325472455556
"127" 22 "WALKING" "tBodyAcc" "mean" "X" 0.27886459
"128" 22 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.248391534566667
"129" 22 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.284458963861111
"130" 22 "SITTING" "tBodyAcc" "mean" "X" 0.273583822709677
"131" 22 "STANDING" "tBodyAcc" "mean" "X" 0.279053861587302
"132" 22 "LAYING" "tBodyAcc" "mean" "X" 0.279959721194444
"133" 23 "WALKING" "tBodyAcc" "mean" "X" 0.273211884237288
"134" 23 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.249995171031373
"135" 23 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.289897411148148
"136" 23 "SITTING" "tBodyAcc" "mean" "X" 0.273351251617647
"137" 23 "STANDING" "tBodyAcc" "mean" "X" 0.277899323235294
"138" 23 "LAYING" "tBodyAcc" "mean" "X" 0.274038007986111
"139" 24 "WALKING" "tBodyAcc" "mean" "X" 0.276980816034483
"140" 24 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.269881106779661
"141" 24 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.288631208909091
"142" 24 "SITTING" "tBodyAcc" "mean" "X" 0.273475690147059
"143" 24 "STANDING" "tBodyAcc" "mean" "X" 0.280348883913043
"144" 24 "LAYING" "tBodyAcc" "mean" "X" 0.272850494930556
"145" 25 "WALKING" "tBodyAcc" "mean" "X" 0.278992759054054
"146" 25 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.277995411384615
"147" 25 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.291329666206897
"148" 25 "SITTING" "tBodyAcc" "mean" "X" 0.278541482461538
"149" 25 "STANDING" "tBodyAcc" "mean" "X" 0.278013701621622
"150" 25 "LAYING" "tBodyAcc" "mean" "X" 0.250791828613699
"151" 26 "WALKING" "tBodyAcc" "mean" "X" 0.279264443728814
"152" 26 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.272691394545455
"153" 26 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.2792845828
"154" 26 "SITTING" "tBodyAcc" "mean" "X" 0.258243530166667
"155" 26 "STANDING" "tBodyAcc" "mean" "X" 0.281127035405405
"156" 26 "LAYING" "tBodyAcc" "mean" "X" 0.271645864540789
"157" 27 "WALKING" "tBodyAcc" "mean" "X" 0.276849485438596
"158" 27 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.265770253921569
"159" 27 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.2975441875
"160" 27 "SITTING" "tBodyAcc" "mean" "X" 0.273941302571429
"161" 27 "STANDING" "tBodyAcc" "mean" "X" 0.279566921625
"162" 27 "LAYING" "tBodyAcc" "mean" "X" 0.274102492432432
"163" 28 "WALKING" "tBodyAcc" "mean" "X" 0.281228223888889
"164" 28 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.262005841764706
"165" 28 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.293642076521739
"166" 28 "SITTING" "tBodyAcc" "mean" "X" 0.276977629444444
"167" 28 "STANDING" "tBodyAcc" "mean" "X" 0.277795069113924
"168" 28 "LAYING" "tBodyAcc" "mean" "X" 0.2759134825
"169" 29 "WALKING" "tBodyAcc" "mean" "X" 0.271999916792453
"170" 29 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.265423066877551
"171" 29 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.293140441083333
"172" 29 "SITTING" "tBodyAcc" "mean" "X" 0.2771799775
"173" 29 "STANDING" "tBodyAcc" "mean" "X" 0.277965065846154
"174" 29 "LAYING" "tBodyAcc" "mean" "X" 0.287295196811594
"175" 30 "WALKING" "tBodyAcc" "mean" "X" 0.276406758
"176" 30 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "X" 0.271415642261538
"177" 30 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "X" 0.283190646967742
"178" 30 "SITTING" "tBodyAcc" "mean" "X" 0.268336081379032
"179" 30 "STANDING" "tBodyAcc" "mean" "X" 0.277112699152542
"180" 30 "LAYING" "tBodyAcc" "mean" "X" 0.281033900571429
"181" 1 "WALKING" "tBodyAcc" "mean" "Y" -0.0173838185273684
"182" 1 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0239531492643396
"183" 1 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.00991850461020408
"184" 1 "SITTING" "tBodyAcc" "mean" "Y" -0.00130828765170213
"185" 1 "STANDING" "tBodyAcc" "mean" "Y" -0.0161375901037736
"186" 1 "LAYING" "tBodyAcc" "mean" "Y" -0.0405139534294
"187" 2 "WALKING" "tBodyAcc" "mean" "Y" -0.0185949199145763
"188" 2 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0214121132045833
"189" 2 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0226614158361702
"190" 2 "SITTING" "tBodyAcc" "mean" "Y" -0.0156879937282609
"191" 2 "STANDING" "tBodyAcc" "mean" "Y" -0.0184208270166667
"192" 2 "LAYING" "tBodyAcc" "mean" "Y" -0.0181587397583333
"193" 3 "WALKING" "tBodyAcc" "mean" "Y" -0.0171767844203448
"194" 3 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0324109410555932
"195" 3 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0193554079328571
"196" 3 "SITTING" "tBodyAcc" "mean" "Y" -0.00350299841730769
"197" 3 "STANDING" "tBodyAcc" "mean" "Y" -0.0143376555065574
"198" 3 "LAYING" "tBodyAcc" "mean" "Y" -0.0189556785048387
"199" 4 "WALKING" "tBodyAcc" "mean" "Y" -0.0148399475341667
"200" 4 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0319804295729615
"201" 4 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.00980200850666667
"202" 4 "SITTING" "tBodyAcc" "mean" "Y" -0.007163065158
"203" 4 "STANDING" "tBodyAcc" "mean" "Y" -0.00948911098553571
"204" 4 "LAYING" "tBodyAcc" "mean" "Y" -0.0150031841055556
"205" 5 "WALKING" "tBodyAcc" "mean" "Y" -0.0172850317482679
"206" 5 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0325269755153191
"207" 5 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.00850107533191489
"208" 5 "SITTING" "tBodyAcc" "mean" "Y" -0.00990083527045455
"209" 5 "STANDING" "tBodyAcc" "mean" "Y" -0.00700418554517857
"210" 5 "LAYING" "tBodyAcc" "mean" "Y" -0.0183042123269231
"211" 6 "WALKING" "tBodyAcc" "mean" "Y" -0.0168954189082456
"212" 6 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0272425385070588
"213" 6 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.019536840063125
"214" 6 "SITTING" "tBodyAcc" "mean" "Y" -0.0145911615290909
"215" 6 "STANDING" "tBodyAcc" "mean" "Y" -0.0181236327175439
"216" 6 "LAYING" "tBodyAcc" "mean" "Y" -0.0102529170561404
"217" 7 "WALKING" "tBodyAcc" "mean" "Y" -0.018653665345614
"218" 7 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0275639005607843
"219" 7 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0166332372978723
"220" 7 "SITTING" "tBodyAcc" "mean" "Y" -0.01461097580375
"221" 7 "STANDING" "tBodyAcc" "mean" "Y" -0.0145740341037736
"222" 7 "LAYING" "tBodyAcc" "mean" "Y" -0.0204411516884615
"223" 8 "WALKING" "tBodyAcc" "mean" "Y" -0.0186628865310417
"224" 8 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0282415136341463
"225" 8 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0211058674973684
"226" 8 "SITTING" "tBodyAcc" "mean" "Y" -0.00672550621304348
"227" 8 "STANDING" "tBodyAcc" "mean" "Y" -0.0148113067148148
"228" 8 "LAYING" "tBodyAcc" "mean" "Y" -0.0212281733881481
"229" 9 "WALKING" "tBodyAcc" "mean" "Y" -0.0180891971284423
"230" 9 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0195101099975714
"231" 9 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0203994269075476
"232" 9 "SITTING" "tBodyAcc" "mean" "Y" -0.02701677698
"233" 9 "STANDING" "tBodyAcc" "mean" "Y" -0.0200454954022222
"234" 9 "LAYING" "tBodyAcc" "mean" "Y" -0.020526821662
"235" 10 "WALKING" "tBodyAcc" "mean" "Y" -0.017022351190566
"236" 10 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0143854920340426
"237" 10 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0200050770710526
"238" 10 "SITTING" "tBodyAcc" "mean" "Y" -0.015042681852037
"239" 10 "STANDING" "tBodyAcc" "mean" "Y" -0.0155418603409091
"240" 10 "LAYING" "tBodyAcc" "mean" "Y" -0.024294484137931
"241" 11 "WALKING" "tBodyAcc" "mean" "Y" -0.0166475833623729
"242" 11 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0303157822055556
"243" 11 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0178097721219565
"244" 11 "SITTING" "tBodyAcc" "mean" "Y" -0.0149195616754717
"245" 11 "STANDING" "tBodyAcc" "mean" "Y" -0.0171990886595745
"246" 11 "LAYING" "tBodyAcc" "mean" "Y" -0.0176598052315789
"247" 12 "WALKING" "tBodyAcc" "mean" "Y" -0.015560927606
"248" 12 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0263574903403846
"249" 12 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.018084266865793
"250" 12 "SITTING" "tBodyAcc" "mean" "Y" -0.0157892988523529
"251" 12 "STANDING" "tBodyAcc" "mean" "Y" -0.0169002543196721
"252" 12 "LAYING" "tBodyAcc" "mean" "Y" -0.0175203917146667
"253" 13 "WALKING" "tBodyAcc" "mean" "Y" -0.0185660651947368
"254" 13 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0277392253910909
"255" 13 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0143723839108511
"256" 13 "SITTING" "tBodyAcc" "mean" "Y" -0.00587732936326531
"257" 13 "STANDING" "tBodyAcc" "mean" "Y" -0.0167891993964912
"258" 13 "LAYING" "tBodyAcc" "mean" "Y" -0.020440454366129
"259" 14 "WALKING" "tBodyAcc" "mean" "Y" -0.0217785380966102
"260" 14 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0204388180024074
"261" 14 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0200141413657778
"262" 14 "SITTING" "tBodyAcc" "mean" "Y" -0.00870565463888889
"263" 14 "STANDING" "tBodyAcc" "mean" "Y" -0.01520781344
"264" 14 "LAYING" "tBodyAcc" "mean" "Y" -0.0113424652490196
"265" 15 "WALKING" "tBodyAcc" "mean" "Y" -0.0170809740090741
"266" 15 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0287523860708333
"267" 15 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.00563047804309524
"268" 15 "SITTING" "tBodyAcc" "mean" "Y" -0.0117188472271186
"269" 15 "STANDING" "tBodyAcc" "mean" "Y" -0.0183516360396226
"270" 15 "LAYING" "tBodyAcc" "mean" "Y" -0.0166296542054167
"271" 16 "WALKING" "tBodyAcc" "mean" "Y" -0.0204286929452941
"272" 16 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0143654945011765
"273" 16 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0183898583787234
"274" 16 "SITTING" "tBodyAcc" "mean" "Y" -0.0102497939956522
"275" 16 "STANDING" "tBodyAcc" "mean" "Y" -0.0165999672935897
"276" 16 "LAYING" "tBodyAcc" "mean" "Y" -0.0166103510562857
"277" 17 "WALKING" "tBodyAcc" "mean" "Y" -0.0184875403339344
"278" 17 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0228645614308333
"279" 17 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0167359404347826
"280" 17 "SITTING" "tBodyAcc" "mean" "Y" -0.014156274084375
"281" 17 "STANDING" "tBodyAcc" "mean" "Y" -0.0174120064169231
"282" 17 "LAYING" "tBodyAcc" "mean" "Y" -0.0168462006729577
"283" 18 "WALKING" "tBodyAcc" "mean" "Y" -0.0178023631866071
"284" 18 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0222060684378914
"285" 18 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0168666920221818
"286" 18 "SITTING" "tBodyAcc" "mean" "Y" -0.0128691279736842
"287" 18 "STANDING" "tBodyAcc" "mean" "Y" -0.0166353518150685
"288" 18 "LAYING" "tBodyAcc" "mean" "Y" -0.0173937684615385
"289" 19 "WALKING" "tBodyAcc" "mean" "Y" -0.0191773587903846
"290" 19 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0303986615775
"291" 19 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0145942275069487
"292" 19 "SITTING" "tBodyAcc" "mean" "Y" -0.016739260030137
"293" 19 "STANDING" "tBodyAcc" "mean" "Y" -0.0154244056945205
"294" 19 "LAYING" "tBodyAcc" "mean" "Y" -0.0171426864421687
"295" 20 "WALKING" "tBodyAcc" "mean" "Y" -0.021199992245098
"296" 20 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0282258047588235
"297" 20 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.00964120773155556
"298" 20 "SITTING" "tBodyAcc" "mean" "Y" -0.0147229305131818
"299" 20 "STANDING" "tBodyAcc" "mean" "Y" -0.0180695049161644
"300" 20 "LAYING" "tBodyAcc" "mean" "Y" -0.0144406281132353
"301" 21 "WALKING" "tBodyAcc" "mean" "Y" -0.0181610317526923
"302" 21 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0237218695148936
"303" 21 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0173195390157778
"304" 21 "SITTING" "tBodyAcc" "mean" "Y" -0.0144009705494118
"305" 21 "STANDING" "tBodyAcc" "mean" "Y" -0.0167084730205618
"306" 21 "LAYING" "tBodyAcc" "mean" "Y" -0.0184233048415556
"307" 22 "WALKING" "tBodyAcc" "mean" "Y" -0.0167213607957174
"308" 22 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0268622561133333
"309" 22 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0197999371686389
"310" 22 "SITTING" "tBodyAcc" "mean" "Y" -0.0123468446419355
"311" 22 "STANDING" "tBodyAcc" "mean" "Y" -0.0158563207496825
"312" 22 "LAYING" "tBodyAcc" "mean" "Y" -0.0142629864502778
"313" 23 "WALKING" "tBodyAcc" "mean" "Y" -0.0183618711932203
"314" 23 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0323844029237255
"315" 23 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0162111457238889
"316" 23 "SITTING" "tBodyAcc" "mean" "Y" -0.0133945015676471
"317" 23 "STANDING" "tBodyAcc" "mean" "Y" -0.0177475547867647
"318" 23 "LAYING" "tBodyAcc" "mean" "Y" -0.0216553835833333
"319" 24 "WALKING" "tBodyAcc" "mean" "Y" -0.0225446400534483
"320" 24 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0251979434569492
"321" 24 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0145730348310909
"322" 24 "SITTING" "tBodyAcc" "mean" "Y" -0.0131255097938235
"323" 24 "STANDING" "tBodyAcc" "mean" "Y" -0.0144785340348986
"324" 24 "LAYING" "tBodyAcc" "mean" "Y" -0.0173555210111111
"325" 25 "WALKING" "tBodyAcc" "mean" "Y" -0.0186477624716216
"326" 25 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0269863524264615
"327" 25 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0210170522987931
"328" 25 "SITTING" "tBodyAcc" "mean" "Y" -0.0147696808030769
"329" 25 "STANDING" "tBodyAcc" "mean" "Y" -0.0163569730274324
"330" 25 "LAYING" "tBodyAcc" "mean" "Y" -0.0188943663671233
"331" 26 "WALKING" "tBodyAcc" "mean" "Y" -0.0154259586949153
"332" 26 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0281633797398182
"333" 26 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.01262580966778
"334" 26 "SITTING" "tBodyAcc" "mean" "Y" -0.00713364541358974
"335" 26 "STANDING" "tBodyAcc" "mean" "Y" -0.0166608306652703
"336" 26 "LAYING" "tBodyAcc" "mean" "Y" -0.0191895728026316
"337" 27 "WALKING" "tBodyAcc" "mean" "Y" -0.0166478783221912
"338" 27 "WALKING_UPSTAIRS" "tBodyAcc" "mean" "Y" -0.0200953324078431
"339" 27 "WALKING_DOWNSTAIRS" "tBodyAcc" "mean" "Y" -0.0135564467159091
